period,profit,leaching,wetstart
6,0.2480815019780653,0.0130139174535671,1
6,0.2469932418131216,2.269259008734125,1
6,0.2355457058973859,0.001413236922804,1
6,0.2475670623901332,0.0014163690945976,1
6,0.23882805357734452,0.0198870948983584,1
6,0.2235895317085059,0.0238677038454454,1
6,0.2200809946547003,0.0001045339010823,1
6,0.24917730665342933,0.0096938446806327,1
6,0.2100084665565144,0.0203114152935275,0
6,0.2442851452886614,0.0157425378692511,0
6,0.2451847155962516,0.0279076798032783,1
6,0.2306124027050068,0.0007765577190253,1
6,0.2452925530503002,0.1147011930479472,1
6,0.250931940790183,0.0017642473444156,1
6,0.2371804898125709,0.0,1
6,0.2411498992236533,0.5606652377166577,0
6,0.2150873887147616,0.0,0
6,0.243578562513197,0.3616634427950466,0
6,0.22882827664213262,0.0,1
6,0.2507554241173545,0.0001614291089222,1
6,0.2423944107435408,1.815909608898154,1
6,0.24537029609316738,0.0015641471965805,1
6,0.2332091005657681,0.3787172023177267,1
6,0.24950427234397568,0.0169614349731898,1
6,0.2499849695197156,0.0017834681476217,1
6,0.2406176279797196,0.0,1
6,0.209529548406432,0.0,0
6,0.21132592528311128,0.0230432251675968,0
6,0.2469709197052602,0.0029937416039287,1
6,0.24491701733560461,0.1363157413242301,1
6,0.2168213028940984,0.040286595459073,0
6,0.247059827925759,2.1159425126838727,1
6,0.2478808881941933,0.0122494675058168,1
6,0.2493153732263178,0.0055151738657065,1
6,0.2475778886840922,0.0004185852751608,1
6,0.24381512140380482,0.4382287143565055,1
6,0.21932374010234693,0.0199238194187847,1
6,0.2440680998275297,1.5225282715960022,0
6,0.248010680937331,0.0205602519376328,1
6,0.2503594269599897,0.0031934247684666,1
6,0.2483681264369771,0.0067876792948911,1
6,0.22949929019760348,0.0,1
6,0.2474571901119039,2.4571584953188985,1
6,0.2308322348327623,2.9852979753665904e-05,1
6,0.2493639784026599,0.0112445931315636,1
6,0.2502093862461811,0.1695718407965394,1
6,0.24998341599855778,0.0043883679981103,1
6,0.2179887354635177,0.0198347512037348,1
6,0.23760656767606442,0.0,1
6,0.247213516757329,0.6169498595443467,1
6,0.2297080493162273,0.0026193719667767,1
6,0.23561221204046312,0.0009476415237478,1
6,0.24559238238680228,0.0141271463552905,1
6,0.248956353917627,0.0023636771553663,1
6,0.2412476413448614,0.000497728039942,1
6,0.23045278575036002,0.0034655432587062,1
6,0.2437920123385513,0.0148263404357035,1
6,0.2479839286124204,1.4096170154710168,1
6,0.2485071708733311,0.1351534725510411,1
6,0.2409997113728792,0.0014130537398755,1
6,0.24572317240035713,0.0116166321313009,1
6,0.2400983835278323,0.0005586793795685,1
6,0.2410440284340401,0.0,1
6,0.22091768161205538,0.0008180987224857,1
6,0.2200276626593945,0.0038672963446088,1
6,0.245476932071699,0.0101888432719713,0
6,0.239857342574857,0.0,1
6,0.24404891493099348,0.0171765692783663,1
6,0.18146731467604343,0.1624827949945804,0
6,0.24849188205994469,0.8933368304334222,1
6,0.22235350747382032,0.0,1
6,0.2498916171928805,0.0253024001112783,1
6,0.2456974200186532,0.0071704053874149,1
6,0.2301265686118783,0.0200530487881366,1
6,0.2290538916159587,5.20459521459265e-05,1
6,0.2461554942766022,0.0004251683548088,1
6,0.2460275539285923,0.0053597646527523,1
6,0.2401292492423539,0.0,1
6,0.2413917775690198,3.2734726034715694e-05,1
6,0.2375337635884589,0.022155783486034,1
6,0.2496942099600464,0.1254973582542906,1
6,0.25013439557969913,0.1503304927491368,1
6,0.24917512693475719,0.0291563114064474,1
6,0.2404531371893502,0.0253903897561718,1
6,0.250519456901111,0.00162920180068,1
6,0.2495776560594171,0.5205662509123976,1
6,0.2414648055993613,0.0136402368121286,1
6,0.24474047789787762,0.3502565248521149,1
6,0.2368393856413717,0.0874370538242195,1
6,0.2447073931767225,9.46503034170384,1
6,0.2301842111873708,0.0100352633292325,1
6,0.2468446712623508,0.088906147791751,1
6,0.2361257919697243,0.0110238468211889,1
6,0.2456805695763155,1.0447284784953308e-05,0
6,0.2490127039839255,1.053026271803591,1
6,0.2363856389978132,0.0189286214793607,1
6,0.2422937290521825,2.3540227348999496e-06,1
6,0.2495888087958437,1.2604902718088815,1
6,0.2400827907625506,1.3120065069194051e-05,1
6,0.249206658364386,0.004097136296394,1
6,0.2459098784725924,0.0494657756140501,1
6,0.2499395431462009,0.030143086056702,1
6,0.24884259369486939,0.0111217595501731,1
6,0.24019364683349612,1.7391903566634097,1
6,0.2470268187262242,0.0178590366449128,1
6,0.2486653865688555,0.0033655592661736,1
6,0.2454897251511304,0.00115848554985,1
6,0.2455451404034883,0.0343939390154469,1
6,0.21040175594318722,0.000162749881849,0
6,0.24717932261104142,0.1115067801519142,1
6,0.2226035559817055,0.0,1
6,0.217416049052096,0.0,1
6,0.2501915290790784,0.0570626482083463,1
6,0.2194846992855202,9.640974369436253e-06,1
6,0.241360349530817,0.0,1
6,0.2450866090227429,1.8480271901957328,1
6,0.2399282579473004,0.0,1
6,0.2508323621002064,0.0677898933951748,1
6,0.24112265858593002,0.080948502659232,1
6,0.237954840056327,1.274468548401304e-05,0
6,0.24003596404785618,0.9656501770334232,1
6,0.2451465259842841,3.025627945442809,1
6,0.2242768089296919,0.0,1
6,0.2398007120208828,0.0007107008028172,1
6,0.2159457765015646,0.0002618764456865,0
6,0.2446279337430946,0.0001719291432782,1
6,0.2493972297702851,3.6890880467032456,1
6,0.24377591364671092,0.0447520918304278,1
6,0.21211154582555142,0.0,0
6,0.2301398974836302,0.0021747555351207,1
6,0.2483021259146791,0.0931192029960128,1
6,0.2322477431348584,0.0008235361002353,1
6,0.2448308206639696,0.0205082489920206,1
6,0.2341630376255148,1.7723501218194308e-05,0
6,0.2306557536019959,0.0,1
6,0.2482688948313373,0.9371752553536788,1
6,0.2369024959249211,1.5663860596869073e-05,1
6,0.2464515900623651,0.1293349940496907,1
6,0.24836210700452402,0.0010623917942221,1
6,0.2450768124516742,0.0007024967730433,1
6,0.2332719128401318,4.556756368376891e-05,1
6,0.2404987313898099,0.0,1
6,0.2276359407667072,0.0013507931406166,1
6,0.2497140880464156,0.000467735881464,1
6,0.2363387549784732,0.0061856957580597,1
6,0.23630524683140508,1.7294364887742397e-05,1
6,0.2489300533782616,2.9094751055383585,1
6,0.2504284088316946,1.0834663518605868e-05,1
6,0.21807239743499318,0.0,1
6,0.24905572780966628,0.0019898706530248,1
6,0.2360725924463708,0.0012719511742644,1
6,0.2416247961917311,0.2669512994160655,0
6,0.24606962597844048,0.0039536357160665,1
6,0.2181254790268509,0.0,1
6,0.20950849027668672,0.0,0
6,0.22114179953351648,8.623541609861686e-06,1
6,0.2423192218150462,0.0198449548758111,1
6,0.2410474905608635,0.0445635489335628,1
6,0.24375516186751942,0.0201822558339156,1
6,0.2177391491690486,0.0,1
6,0.2310731891167769,9.474972988442556,0
6,0.2501442590589362,0.0076979685301144,1
6,0.2226251755508622,0.0114852384096772,1
6,0.24984880847438218,0.0496819680725353,1
6,0.235305374854896,0.0,1
