control_period,penalty,parameters_idx,deficit_cost,total_leaching_gN_per_m2,violated
3.0,0.20126710688876742,262.0,0.0021660541268655126,8.892811127188457e-06,0.0
3.0,0.20126710688876742,263.0,0.00018086544271544023,0.03095050477212566,1.0
3.0,0.20126710688876742,264.0,0.001135566894290668,0.004589798505049559,1.0
3.0,0.20126710688876742,265.0,0.0008907732398863243,0.031677979938438065,1.0
3.0,0.20126710688876742,266.0,0.002158117335389612,0.007706455328863302,1.0
3.0,0.20126710688876742,267.0,0.00020951226747532793,0.0017554154790149722,1.0
3.0,0.20126710688876742,268.0,0.010187982391129084,7.588739810657716e-05,0.0
3.0,0.20126710688876742,269.0,0.0036379551552358537,0.00510767986586485,1.0
3.0,0.20126710688876742,270.0,0.0007697605302167993,0.007137219539894325,1.0
3.0,0.20126710688876742,271.0,0.000694609524634545,0.0021203468802372307,1.0
3.0,0.20126710688876742,272.0,0.0006631882500652949,0.0002559585086419788,1.0
3.0,0.20126710688876742,273.0,0.00027249958239269797,0.11207726260286256,1.0
3.0,0.20126710688876742,274.0,0.003857995545281905,0.02461214257015422,0.0
3.0,0.20126710688876742,275.0,0.00046062030128158585,2.718957385524852,1.0
3.0,0.20126710688876742,276.0,0.0038760310773726897,0.000198946613376513,0.0
3.0,0.20126710688876742,277.0,0.00044185237231181306,0.00010151272675630871,1.0
3.0,0.20126710688876742,278.0,0.004256711300003885,0.0,0.0
3.0,0.20126710688876742,279.0,0.000730891841311935,0.0005589792272219652,1.0
3.0,0.20126710688876742,280.0,0.009766214524768876,4.416830894247766e-05,0.0
3.0,0.20126710688876742,281.0,0.004284050509461936,0.0,0.0
3.0,0.20126710688876742,282.0,0.0,0.13075085201007092,1.0
3.0,0.20126710688876742,283.0,0.00185882068248187,7.048104647997539,1.0
3.0,0.20126710688876742,284.0,0.009854146735287183,0.0,0.0
3.0,0.20126710688876742,285.0,0.006760459546152791,0.0,0.0
3.0,0.20126710688876742,286.0,0.0010097138916771147,9.2419334272477,1.0
3.0,0.20126710688876742,287.0,0.0004558155653541185,0.003646982460031446,1.0
3.0,0.20126710688876742,288.0,0.003913973952251365,0.0020684204194346516,0.0
